"motor:","TSP D12"
"contributor:","Teodor Stanculeasa"
"details:","https://www.thrustcurve.org/simfiles/66a2fae4d1517d00027c3f75/"

"Time (s)","Thrust (N)"
0.012,0.208
0.067,0.312
0.111,0.832
0.146,1.351
0.186,2.079
0.225,2.495
0.249,3.326
0.277,4.262
0.297,5.198
0.328,6.341
0.348,7.796
0.368,9.148
0.388,10.187
0.396,11.435
0.411,12.89
0.423,14.345
0.435,16.112
0.443,17.672
0.447,18.815
0.459,21.102
0.479,22.869
0.487,24.324
0.498,25.572
0.506,26.923
0.518,28.067
0.538,25.988
0.542,24.012
0.55,22.037
0.558,20.894
0.574,20.478
0.589,21.102
0.597,21.726
0.625,20.27
0.649,19.127
0.676,17.672
0.704,16.528
0.744,15.489
0.783,14.657
0.815,14.033
0.85,14.033
0.89,13.617
0.934,13.306
0.961,12.578
1.001,12.578
1.032,11.642
1.08,11.85
1.147,11.538
1.226,11.642
1.309,11.642
1.381,11.642
1.44,11.746
1.491,11.746
1.551,11.435
1.57,9.979
1.582,8.42
1.598,6.653
1.61,5.301
1.63,3.742
1.653,2.495
1.677,1.143
1.709,0.52
1.733,0
